4.572	3.55	37.67	4.477132997	274.32
1.524	28.00	106.35	4.64674189	228.6
3.048	0.45	43	4.953744186	914.4
3.048	43.28	103.4	4.665947776	213.36
1.524	5.26	19.79	3.90566953	259.08
3.81	4.03	35.05	4.584194009	91.44
2.286	14.10	1004.04	4.725080873	146.304
1.524	29.64	113.77	4.705999824	76.2
3.81	0.68	68.94	4.696550624	106.68
5.334	18.27	87.41	4.707868665	350.52
3.2004	1.806	871.45	4.722166504	182.88
1.524	0.123	248.76	4.696016241	42.672
1.524	12.84	29.26	4.428263841	109.728
3.81	8.18	23.9	4.209832636	219.456
1.524	13.8	57.76	4.506163435	96.012
3.048	13.118	77.8	4.575123393	53.34
2.286	84.9	97.663	4.598576738	128.016
3.81	22.9	90.85	4.625536599	914.4
4.572	49.3	107.76	4.653591314	192.024
1.524	90.21	90.19	4.665756736	60.96
2.286	0.469	454.56	4.695381908	60.96
2.286	20.95	25.72	4.288335925	106.68
11	4.246	63	4.553793651	420
3.048	67	2013.26	4.728318747	207.264
1.524	0.0719	39.783	4.448633839	67.056
4.2672	25.4	24.5	4.451306122	71.3232
2.1336	1.504	88.41	4.691607284	396.24
1.0668	5.375	1005.52	4.721701209	457.2
1.0668	3.57	3.88	5.531185567	57.3024
1.525	5.22	27.61	4.467656646	152
4.57	9.23	14.71	4.543834126	366
3.05	2.84	24.6	4.972276423	168
0.305	5.48	1339.41	4.721399721	107
1.525	48.65	47.59	5.928113049	85
5.335	18.27	25.45	5.970098232	229
4.57	3.23	41.2	8.079563107	198
7.62	6.01	31.84	4.262961683	853
1.22	0.96	1456.05	4.727298513	30
1.22	13.8	36.24	4.424751656	64
8.38	32.56	25.97	4.188910281	244
4.57	15.6	25.44	4.100805818	549
3.05	9.23	17.14	4.030274212	152
1.83	3.13	28.55	4.349036778	96
6	0.07	86	8.6	140
6	0.04	86	8.491627907	90
6	1.3	86	8.523372093	120
6	2.4	92	12.17543478	90
6	1.4	92	12.17543478	60
6	0.7	92	12.29391304	90
50	0.25	126	19.3268254	150
50	0.4	126	19.70730159	100
7.5	0.31	203	4.892364532	160
1	0.01	7.5	3.15	120
5.5	33	25	4.259	250
3.7	123	1402.6	8.4875	200
3	230	655.9	4.737597195	500
5	0.01	4	3.08	100
0.675	0.01	21.73	4.88778647	420
1.15	0.017	15.381	4.342577206	450
1.875	0.0004	13.7	11.8190146	140
1.5	8.9	495.61	4.737529307	250
