Line 1: r=4.572, C0=3.55, Ca=6.9, γ=3.14, target=274.32 → αₜ=0.080100, Lmax=284.000000
Line 40: params=['8.38', '32.56', '9.82', '3.14', '244']  ERROR: Failed to bracket target 244.000000 in αₜ∈[0.0001, 0.1]
Line 41: params=['4.57', '15.6', '10.43', '3.14', '549']  ERROR: Failed to bracket target 549.000000 in αₜ∈[0.0001, 0.1]
Line 42: params=['3.05', '9.23', '7.7', '3.14', '152']  ERROR: Failed to bracket target 152.000000 in αₜ∈[0.0001, 0.1]
Line 46: params=['6', '1.3', '1', '3.17', '120']  ERROR: Failed to bracket target 120.000000 in αₜ∈[0.0001, 0.1]
Line 48: params=['6', '1.4', '2', '3.17', '60']  ERROR: Failed to bracket target 60.000000 in αₜ∈[0.0001, 0.1]
Line 50: params=['50', '0.25', '1', '3.08', '150']  ERROR: Cannot eval L_max for αₜ∈[0.0001, 0.1]
Line 51: params=['50', '0.4', '1', '3.17', '100']  ERROR: Cannot eval L_max for αₜ∈[0.0001, 0.1]
Line 52: params=['7.5', '0.31', '1', '3.14', '160']  ERROR: Failed to bracket target 160.000000 in αₜ∈[0.0001, 0.1]
Line 54: params=['5.5', '33', '7.5', '3.14', '250']  ERROR: Failed to bracket target 250.000000 in αₜ∈[0.0001, 0.1]
Line 55: params=['3.7', '123', '1.6', '3.08', '200']  ERROR: Failed to bracket target 200.000000 in αₜ∈[0.0001, 0.1]
Line 56: params=['3', '230', '0.6', '3.14', '500']  ERROR: Failed to bracket target 500.000000 in αₜ∈[0.0001, 0.1]
Line 61: params=['1.5', '8.9', '0.99', '3.14', '250']  ERROR: Failed to bracket target 250.000000 in αₜ∈[0.0001, 0.1]
